Average User Rating,User Rating Count,Price,Primary Genre,Genres,,,,,,,,,,,,,
3.5,19,0,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
3.5,860,0,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
4.5,35199,2.99,Games,"Games, Strategy, Entertainment, Action",,,,,,,,,,,,,
3,5013,0,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
3.5,1119,2.99,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3.5,2606,4.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
4.5,863,3.99,Games,"Games, Board, Education, Strategy",,,,,,,,,,,,,
3,1926,0,Games,"Games, Strategy, Entertainment, Word",,,,,,,,,,,,,
2.5,1848,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3,24821,0,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
3.5,2503,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
4,16693,0.99,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
3.5,191081,0,Games,"Games, Strategy, Entertainment, Board",,,,,,,,,,,,,
4,2767,1.99,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
3.5,14073,0,Games,"Games, Entertainment, Strategy, Role Playing",,,,,,,,,,,,,
4.5,5543,4.99,Games,"Games, Family, Strategy, Entertainment",,,,,,,,,,,,,
3,12659,0.99,Games,"Games, Strategy, Action",,,,,,,,,,,,,
4,90386,0,Games,"Games, Strategy, Family, Entertainment",,,,,,,,,,,,,
3,40,0,Games,"Games, Board, Strategy",,,,,,,,,,,,,
2,353,0,Games,"Games, Casual, Strategy",,,,,,,,,,,,,
2.5,47,0,Games,"Games, Strategy",,,,,,,,,,,,,
3,866,0,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
3.5,3416,0,Games,"Games, Strategy, Role Playing, Entertainment",,,,,,,,,,,,,
3.5,67670,0.99,Games,"Games, Strategy, Action",,,,,,,,,,,,,
2.5,634,0,Games,"Games, Strategy, Simulation",,,,,,,,,,,,,
3,282,2.99,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
3.5,93235,0.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
4,569,2.99,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
3.5,127,2.99,Games,"Games, Strategy, Card, Entertainment",,,,,,,,,,,,,
4,193923,0,Games,"Games, Action, Entertainment, Strategy",,,,,,,,,,,,,
4,42389,2.99,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
3.5,207,3.99,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
3,16554,0,Games,"Games, Puzzle, Strategy, Entertainment",,,,,,,,,,,,,
3,6906,0,Games,"Games, Strategy, Simulation, Entertainment",,,,,,,,,,,,,
3,9,1.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
3.5,2110,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
3.5,267,3.99,Entertainment,"Entertainment, Games, Board, Strategy",,,,,,,,,,,,,
2,704,0,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
3.5,23854,0.99,Games,"Games, Adventure, Strategy",,,,,,,,,,,,,
3,847,0.99,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
3,233,0,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
3,5,0.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
4.5,14864,0,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
2.5,43,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
1.5,8,1.99,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
2.5,3593,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
3,344,0,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
4.5,36581,0,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
4.5,36581,0,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
3,302,0,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
4,5778,1.99,Games,"Games, Action, Entertainment, Strategy",,,,,,,,,,,,,
4.5,27739,0,Games,"Games, Entertainment, Strategy, Role Playing",,,,,,,,,,,,,
4,163,1.99,Games,"Games, Puzzle, Strategy, Education",,,,,,,,,,,,,
3.5,212763,0.99,Games,"Games, Strategy, Action",,,,,,,,,,,,,
3,24,0,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
3.5,166,0,Games,"Games, Strategy, Education, Casual",,,,,,,,,,,,,
3.5,35905,0.99,Games,"Games, Role Playing, Strategy",,,,,,,,,,,,,
2.5,268,0.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
3,942,0,Games,"Games, Strategy, Card, Entertainment",,,,,,,,,,,,,
3.5,3135,0,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
4,1435,2.99,Games,"Games, Puzzle, Strategy, Entertainment",,,,,,,,,,,,,
3,680,0,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
3.5,3015,0,Finance,"Finance, Simulation, Games, Strategy",,,,,,,,,,,,,
4.5,688,0,Games,"Games, Travel, Strategy, Word",,,,,,,,,,,,,
4,113,0.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
2,291,0.99,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
4.5,62,0,Games,"Games, Adventure, Strategy",,,,,,,,,,,,,
3.5,1054,0,Games,"Games, Strategy, Entertainment, Casino",,,,,,,,,,,,,
3.5,9,0,Games,"Games, Puzzle, Strategy, Entertainment",,,,,,,,,,,,,
3,657,0,Games,"Games, Entertainment, Simulation, Strategy",,,,,,,,,,,,,
3,47338,0.99,Games,"Games, Family, Strategy",,,,,,,,,,,,,
3.5,1979,0.99,Games,"Games, Strategy, Simulation, Entertainment",,,,,,,,,,,,,
2.5,654,0.99,Games,"Games, Entertainment, Strategy, Casual",,,,,,,,,,,,,
4,213,9.99,Games,"Games, Board, Education, Strategy",,,,,,,,,,,,,
3,15277,0,Games,"Games, Simulation, Entertainment, Strategy",,,,,,,,,,,,,
3.5,776,0,Games,"Games, Education, Puzzle, Strategy",,,,,,,,,,,,,
3.5,5378,0,Games,"Games, Strategy, Entertainment, Action",,,,,,,,,,,,,
4,2567,4.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
2.5,29,0,Games,"Games, Entertainment, Strategy, Action",,,,,,,,,,,,,
3.5,199585,0,Sports,"Sports, Games, Sports, Strategy",,,,,,,,,,,,,
4.5,143719,0,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
3,4289,0,Games,"Games, Entertainment, Strategy, Casual",,,,,,,,,,,,,
3,178,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3,694,0,Games,"Games, Casual, Strategy, Entertainment",,,,,,,,,,,,,
5,6,0.99,Games,"Games, Education, Strategy",,,,,,,,,,,,,
3,46861,0.99,Games,"Games, Strategy, Family",,,,,,,,,,,,,
3.5,1639,0.99,Games,"Games, Strategy, Family",,,,,,,,,,,,,
4,148144,0,Games,"Games, Adventure, Strategy",,,,,,,,,,,,,
4,7950,2.99,Games,"Games, Strategy, Casual",,,,,,,,,,,,,
,,0.99,Entertainment,"Entertainment, Casino, Games, Strategy",,,,,,,,,,,,,
3.5,517,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3.5,4049,0.99,Games,"Games, Board, Business, Strategy",,,,,,,,,,,,,
3,345,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
3.5,7499,0,Games,"Games, Strategy",,,,,,,,,,,,,
1.5,18,0,Entertainment,"Entertainment, Card, Games, Strategy",,,,,,,,,,,,,
3,38008,0.99,Games,"Games, Family, Strategy",,,,,,,,,,,,,
3.5,3650,0,Games,"Games, Strategy, Action",,,,,,,,,,,,,
2.5,1604,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
3,17680,0,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
3.5,7,0,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
,,0,Games,"Games, Entertainment, Strategy, Simulation",,,,,,,,,,,,,
3,166,0,Games,"Games, Entertainment, Card, Strategy",,,,,,,,,,,,,
2,868,0,Entertainment,"Entertainment, Games, Strategy, Casual",,,,,,,,,,,,,
3.5,10785,0,Games,"Games, Action, Entertainment, Strategy",,,,,,,,,,,,,
4,17440,4.99,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
2.5,234,0,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
4,95466,0,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
2.5,295,0,Games,"Games, Entertainment, Strategy, Role Playing",,,,,,,,,,,,,
4,178,0.99,Games,"Games, Strategy, Role Playing",,,,,,,,,,,,,
5,960,9.99,Games,"Games, Entertainment, Strategy, Role Playing",,,,,,,,,,,,,
3,3284,0,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
4,63,2.99,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
2,849,0,Entertainment,"Entertainment, Action, Strategy, Games",,,,,,,,,,,,,
3.5,532,0,Games,"Games, Strategy, Family",,,,,,,,,,,,,
3,746,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
4,3910,0,Games,"Games, Strategy, Puzzle, Entertainment",,,,,,,,,,,,,
4,118,0,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
4,486,0,Games,"Games, Family, Travel, Strategy",,,,,,,,,,,,,
3.5,884,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3,80790,0,Games,"Games, Strategy, Navigation, Role Playing",,,,,,,,,,,,,
3,1419,0.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
3.5,30,0.99,Games,"Games, Casual, Entertainment, Strategy",,,,,,,,,,,,,
3,297,1.99,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
4,893,3.99,Games,"Games, Card, Entertainment, Strategy",,,,,,,,,,,,,
2.5,240,0,Games,"Games, Board, Strategy",,,,,,,,,,,,,
3,1471,0.99,Reference,"Reference, Games, Strategy, Adventure",,,,,,,,,,,,,
3.5,123,3.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
2.5,6630,0,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
3.5,158,0,Games,"Games, Action, Strategy",,,,,,,,,,,,,
2.5,3183,0,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
,,1.99,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
4,26674,0.99,Games,"Games, Strategy, Entertainment, Action",,,,,,,,,,,,,
3.5,17409,0,Games,"Games, Card, Strategy",,,,,,,,,,,,,
4,84,0.99,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
5,7,0.99,Entertainment,"Entertainment, Board, Strategy, Games",,,,,,,,,,,,,
3.5,286,0.99,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
3,1620,0,Games,"Games, Strategy, Card",,,,,,,,,,,,,
3.5,37435,0,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
